


Tounament 1
-----------------------
Max : 63.0


Tounament 5
-----------------------
Agent 5	Advanced_D	80.0
Agent 1	Advanced_D	78.0
Agent 2	Advanced_C	77.0
Agent 3	Advanced_C	74.0
Agent 6	Advanced_E	59.0
Agent 8	Naive_D	55.0
Agent 4	Advanced_E	55.0
Agent 7	Naive_C	30.0

Statistics 
 Min : 30.0
Average : 63.5
Max : 80.0


Tounament 6
-----------------------
Agent 5	Advanced_D	97.0
Agent 1	Advanced_D	95.0
Agent 2	Advanced_C	92.0
Agent 3	Advanced_C	89.0
Agent 6	Advanced_E	70.0
Agent 8	Naive_D	66.0
Agent 4	Advanced_E	66.0
Agent 7	Naive_C	36.0

Statistics 
 Min : 36.0
Average : 76.375
Max : 97.0


Tounament 7
-----------------------
Agent 5	Advanced_D	114.0
Agent 1	Advanced_D	112.0
Agent 2	Advanced_C	107.0
Agent 3	Advanced_C	104.0
Agent 6	Advanced_E	81.0
Agent 8	Naive_D	77.0
Agent 4	Advanced_E	77.0
Agent 7	Naive_C	42.0

Statistics 
 Min : 42.0
Average : 89.25
Max : 114.0


Tounament 8
-----------------------
Agent 5	Advanced_D	131.0
Agent 1	Advanced_D	129.0
Agent 2	Advanced_C	122.0
Agent 3	Advanced_C	119.0
Agent 6	Advanced_E	92.0
Agent 8	Naive_D	88.0
Agent 4	Advanced_E	88.0
Agent 7	Naive_C	48.0

Statistics 
 Min : 48.0
Average : 102.125
Max : 131.0


Tounament 9
-----------------------
Agent 5	Advanced_D	148.0
Agent 1	Advanced_D	146.0
Agent 2	Advanced_C	137.0
Agent 3	Advanced_C	134.0
Agent 6	Advanced_E	103.0
Agent 8	Naive_D	99.0
Agent 4	Advanced_E	99.0
Agent 7	Naive_C	54.0

Statistics 
 Min : 54.0
Average : 115.0
Max : 148.0


Tounament 10
-----------------------
Agent 5	Advanced_D	165.0
Agent 1	Advanced_D	163.0
Agent 2	Advanced_C	152.0
Agent 3	Advanced_C	149.0
Agent 6	Advanced_E	114.0
Agent 8	Naive_D	110.0
Agent 4	Advanced_E	110.0
Agent 7	Naive_C	60.0

Statistics 
 Min : 60.0
Average : 127.875
Max : 165.0


Tounament 11
-----------------------
Agent 5	Advanced_D	182.0
Agent 1	Advanced_D	180.0
Agent 2	Advanced_C	167.0
Agent 3	Advanced_C	164.0
Agent 6	Advanced_E	125.0
Agent 8	Naive_D	121.0
Agent 4	Advanced_E	121.0
Agent 7	Naive_C	66.0

Statistics 
 Min : 66.0
Average : 140.75
Max : 182.0


Tounament 12
-----------------------
Agent 5	Advanced_D	199.0
Agent 1	Advanced_D	197.0
Agent 2	Advanced_C	182.0
Agent 3	Advanced_C	179.0
Agent 6	Advanced_E	136.0
Agent 8	Naive_D	132.0
Agent 4	Advanced_E	132.0
Agent 7	Naive_C	72.0

Statistics 
 Min : 72.0
Average : 153.625
Max : 199.0


Tounament 13
-----------------------
Agent 5	Advanced_D	216.0
Agent 1	Advanced_D	214.0
Agent 2	Advanced_C	197.0
Agent 3	Advanced_C	194.0
Agent 6	Advanced_E	147.0
Agent 8	Naive_D	143.0
Agent 4	Advanced_E	143.0
Agent 7	Naive_C	78.0

Statistics 
 Min : 78.0
Average : 166.5
Max : 216.0


Tounament 14
-----------------------
Agent 5	Advanced_D	233.0
Agent 1	Advanced_D	231.0
Agent 2	Advanced_C	212.0
Agent 3	Advanced_C	209.0
Agent 6	Advanced_E	158.0
Agent 8	Naive_D	154.0
Agent 4	Advanced_E	154.0
Agent 7	Naive_C	84.0

Statistics 
 Min : 84.0
Average : 179.375
Max : 233.0


Tounament 15
-----------------------
Agent 5	Advanced_D	250.0
Agent 1	Advanced_D	248.0
Agent 2	Advanced_C	227.0
Agent 3	Advanced_C	224.0
Agent 6	Advanced_E	169.0
Agent 8	Naive_D	165.0
Agent 4	Advanced_E	165.0
Agent 7	Naive_C	90.0

Statistics 
 Min : 90.0
Average : 192.25
Max : 250.0


Tounament 16
-----------------------
Agent 5	Advanced_D	267.0
Agent 1	Advanced_D	265.0
Agent 2	Advanced_C	242.0
Agent 3	Advanced_C	239.0
Agent 6	Advanced_E	180.0
Agent 8	Naive_D	176.0
Agent 4	Advanced_E	176.0
Agent 7	Naive_C	96.0

Statistics 
 Min : 96.0
Average : 205.125
Max : 267.0


Tounament 17
-----------------------
Agent 5	Advanced_D	284.0
Agent 1	Advanced_D	282.0
Agent 2	Advanced_C	257.0
Agent 3	Advanced_C	254.0
Agent 6	Advanced_E	191.0
Agent 8	Naive_D	187.0
Agent 4	Advanced_E	187.0
Agent 7	Naive_C	102.0

Statistics 
 Min : 102.0
Average : 218.0
Max : 284.0


Tounament 18
-----------------------
Agent 5	Advanced_D	301.0
Agent 1	Advanced_D	299.0
Agent 2	Advanced_C	272.0
Agent 3	Advanced_C	269.0
Agent 6	Advanced_E	202.0
Agent 8	Naive_D	198.0
Agent 4	Advanced_E	198.0
Agent 7	Naive_C	108.0

Statistics 
 Min : 108.0
Average : 230.875
Max : 301.0


Tounament 19
-----------------------
Agent 5	Advanced_D	318.0
Agent 1	Advanced_D	316.0
Agent 2	Advanced_C	287.0
Agent 3	Advanced_C	284.0
Agent 6	Advanced_E	213.0
Agent 8	Naive_D	209.0
Agent 4	Advanced_E	209.0
Agent 7	Naive_C	114.0

Statistics 
 Min : 114.0
Average : 243.75
Max : 318.0


Tounament 20
-----------------------
Agent 5	Advanced_D	335.0
Agent 1	Advanced_D	333.0
Agent 2	Advanced_C	302.0
Agent 3	Advanced_C	299.0
Agent 6	Advanced_E	224.0
Agent 8	Naive_D	220.0
Agent 4	Advanced_E	220.0
Agent 7	Naive_C	120.0

Statistics 
 Min : 120.0
Average : 256.625
Max : 335.0


Tounament 21
-----------------------
Agent 5	Advanced_D	352.0
Agent 1	Advanced_D	350.0
Agent 2	Advanced_C	317.0
Agent 3	Advanced_C	314.0
Agent 6	Advanced_E	235.0
Agent 8	Naive_D	231.0
Agent 4	Advanced_E	231.0
Agent 7	Naive_C	126.0

Statistics 
 Min : 126.0
Average : 269.5
Max : 352.0


Tounament 22
-----------------------
Agent 5	Advanced_D	369.0
Agent 1	Advanced_D	367.0
Agent 2	Advanced_C	332.0
Agent 3	Advanced_C	329.0
Agent 6	Advanced_E	246.0
Agent 8	Naive_D	242.0
Agent 4	Advanced_E	242.0
Agent 7	Naive_C	132.0

Statistics 
 Min : 132.0
Average : 282.375
Max : 369.0


Tounament 23
-----------------------
Agent 5	Advanced_D	386.0
Agent 1	Advanced_D	384.0
Agent 2	Advanced_C	347.0
Agent 3	Advanced_C	344.0
Agent 6	Advanced_E	257.0
Agent 8	Naive_D	253.0
Agent 4	Advanced_E	253.0
Agent 7	Naive_C	138.0

Statistics 
 Min : 138.0
Average : 295.25
Max : 386.0


Tounament 24
-----------------------
Agent 5	Advanced_D	403.0
Agent 1	Advanced_D	401.0
Agent 2	Advanced_C	362.0
Agent 3	Advanced_C	359.0
Agent 6	Advanced_E	268.0
Agent 8	Naive_D	264.0
Agent 4	Advanced_E	264.0
Agent 7	Naive_C	144.0

Statistics 
 Min : 144.0
Average : 308.125
Max : 403.0


Tounament 25
-----------------------
Agent 5	Advanced_D	420.0
